diacritic_pos	diacritic_freq	no_diacritic_pos	no_diacritic_freq	total_freq	cnt	detected
4	0	2	3	3	572	2
4	0	2	0	0	573	2
4	7	4	0	7	574	0
4	5	2	0	5	575	0
4	0	4	64	64	576	2
4	1	4	23	24	577	1
4	1031	4	4	1035	578	1
4	13	0	25	38	579	0
4	0	2	0	0	580	2
4	57	4	0	57	581	1
4	15	2	11	26	582	0
4	27	2	0	27	583	0
4	55	0	6	61	584	0
4	5	4	33	38	585	1
4	1	4	1	2	586	1
4	2	2	24	26	587	0
4	0	4	1	1	588	2
4	4	2	0	4	589	0
4	0	4	0	0	590	2
4	0	4	1248	1248	591	2
4	9	4	0	9	592	0
4	4	2	0	4	593	1
4	0	4	2	2	594	2
4	0	4	0	0	595	2
4	3	4	0	3	596	0
4	0	2	0	0	597	2
4	12	4	31	43	598	1
4	0	4	100	100	599	2
4	2	2	6	8	600	1
4	0	4	64	64	601	2
4	10	4	0	10	602	0
4	0	2	1106	1106	603	2
4	0	4	7368	7368	604	2
4	4	2	22	26	605	1
4	0	4	1083	1083	606	2
4	6	2	0	6	607	0
4	0	2	3	3	608	2
4	0	2	2	2	609	2
4	5	2	0	5	610	0
4	12	4	76	88	611	0
4	3	4	76	79	612	0
2	0	2	0	0	613	2
2	0	2	0	0	614	2
2	0	2	0	0	615	2
2	0	2	0	0	616	2
2	0	2	0	0	617	2
2	0	2	0	0	618	2
2	0	2	0	0	619	2
2	0	2	0	0	620	2
2	0	2	0	0	621	2
2	0	2	0	0	622	2
2	0	2	0	0	623	2
2	0	2	0	0	624	2
2	0	2	0	0	625	2
2	0	2	0	0	626	2
2	0	2	0	0	627	2
2	0	2	0	0	628	2
2	0	2	0	0	629	2
2	0	2	0	0	630	2
2	0	2	0	0	631	2
2	0	2	0	0	632	2
2	0	2	0	0	633	2
2	0	2	0	0	634	2
2	0	2	0	0	635	2
2	0	2	0	0	636	2
2	0	2	0	0	637	2
2	0	2	0	0	638	2
2	0	2	0	0	639	2
2	0	2	0	0	640	2
2	0	2	0	0	641	2
2	0	2	0	0	642	2
2	4	2	0	4	643	0
2	1	2	124	125	644	1
2	0	2	1	1	645	2
2	0	2	0	0	646	2
2	6	2	1	7	647	1
2	0	2	7	7	648	2
2	1	2	0	1	649	0
2	0	2	0	0	650	2
2	0	2	0	0	651	2
2	0	2	3	3	652	2
2	0	2	0	0	653	2
2	0	2	0	0	654	2
2	0	2	0	0	655	2
2	0	2	1	1	656	2
2	0	2	0	0	657	2
2	0	2	0	0	658	2
2	0	2	0	0	659	2
2	0	2	0	0	660	2
2	0	2	0	0	661	2
2	0	2	0	0	662	2
2	0	2	0	0	663	2
2	0	2	0	0	664	2
2	0	2	0	0	665	2
2	0	2	0	0	666	2
2	0	2	0	0	667	2
2	0	2	0	0	668	2
2	0	2	0	0	669	2
2	0	2	0	0	670	2
2	0	2	0	0	671	2
2	0	2	0	0	672	2
2	0	2	0	0	673	2
2	0	2	0	0	674	2
2	0	2	0	0	675	2
2	0	2	0	0	676	2
2	0	2	5	5	677	2
2	0	2	0	0	678	2
2	0	2	0	0	679	2
2	0	2	0	0	680	2
2	0	2	3	3	681	2
2	65	2	6	71	682	0
2	302	2	420	722	683	1
2	0	2	32	32	684	2
2	0	2	6	6	685	2
2	163	2	11	174	686	1
2	0	2	307	307	687	2
2	9	2	0	9	688	0
2	0	2	0	0	689	2
2	0	2	0	0	690	2
2	0	2	0	0	691	2
2	0	2	0	0	692	2
2	0	2	0	0	693	2
2	0	2	0	0	694	2
2	0	2	0	0	695	2
2	0	2	0	0	696	2
2	0	2	0	0	697	2
2	0	2	0	0	698	2
2	0	2	0	0	699	2
2	0	2	0	0	700	2
2	0	2	0	0	701	2
2	0	2	0	0	702	2
2	0	2	0	0	703	2
2	0	2	0	0	704	2
2	0	2	0	0	705	2
2	0	2	0	0	706	2
2	0	2	0	0	707	2
2	0	2	0	0	708	2
2	0	2	0	0	709	2
2	0	2	0	0	710	2
2	0	2	0	0	711	2
2	0	2	0	0	712	2
2	0	2	0	0	713	2
2	0	2	0	0	714	2
2	0	2	0	0	715	2
2	0	2	0	0	716	2
2	0	2	0	0	717	2
2	0	2	0	0	718	2
2	0	2	0	0	719	2
2	0	2	0	0	720	2
2	0	2	0	0	721	2
2	0	2	0	0	722	2
2	0	2	0	0	723	2
2	0	2	0	0	724	2
2	0	2	0	0	725	2
2	0	2	0	0	726	2
2	0	2	0	0	727	2
2	0	2	0	0	728	2
2	0	2	0	0	729	2
2	0	2	0	0	730	2
2	0	2	0	0	731	2
2	0	2	0	0	732	2
2	0	2	0	0	733	2
2	0	2	0	0	734	2
2	0	2	0	0	735	2
2	0	2	0	0	736	2
2	0	2	0	0	737	2
2	129	2	0	129	738	0
2	3	2	0	3	739	0
2	14	2	1665	1679	740	1
2	0	2	1	1	741	2
2	0	2	0	0	742	2
2	40	2	0	40	743	1
2	1	2	419	420	744	1
2	0	2	0	0	745	2
2	0	2	0	0	746	2
2	0	2	0	0	747	2
2	0	2	0	0	748	2
2	0	2	0	0	749	2
2	0	2	0	0	750	2
2	0	2	0	0	751	2
2	0	2	0	0	752	2
2	0	2	0	0	753	2
2	1	2	202	203	754	0
2	0	2	0	0	755	2
2	0	2	0	0	756	2
2	0	2	0	0	757	2
2	0	2	0	0	758	2
2	0	2	0	0	759	2
2	0	2	0	0	760	2
2	1	2	0	1	761	0
2	0	2	6	6	762	2
4	0	2	0	0	763	2
2	0	2	0	0	764	2
2	0	2	0	0	765	2
2	0	2	0	0	766	2
2	0	2	0	0	767	2
2	0	2	0	0	768	2
2	0	2	0	0	769	2
2	1	2	0	1	770	0
2	21	2	9	30	771	1
2	0	2	1	1	772	2
2	0	2	0	0	773	2
2	11	2	0	11	774	1
2	0	2	4	4	775	2
2	0	2	0	0	776	2
2	0	2	0	0	777	2
2	0	2	0	0	778	2
2	0	2	0	0	779	2
2	0	2	0	0	780	2
2	0	2	0	0	781	2
2	0	2	0	0	782	2
2	0	2	0	0	783	2
2	0	2	0	0	784	2
2	0	2	0	0	785	2
2	0	2	0	0	786	2
2	0	2	0	0	787	2
2	0	2	0	0	788	2
2	0	2	0	0	789	2
2	0	2	0	0	790	2
2	0	2	0	0	791	2
2	0	2	0	0	792	2
2	0	2	0	0	793	2
2	0	2	0	0	794	2
2	0	2	0	0	795	2
2	0	2	0	0	796	2
2	0	2	0	0	797	2
2	0	2	0	0	798	2
2	0	2	0	0	799	2
2	0	2	0	0	800	2
2	0	2	0	0	801	2
2	0	2	0	0	802	2
2	0	2	0	0	803	2
2	0	2	0	0	804	2
2	0	2	0	0	805	2
2	0	2	0	0	806	2
2	0	2	0	0	807	2
2	0	2	0	0	808	2
2	0	2	0	0	809	2
2	0	2	0	0	810	2
2	0	2	0	0	811	2
2	0	2	0	0	812	2
2	0	2	0	0	813	2
2	0	2	0	0	814	2
2	0	2	0	0	815	2
2	0	2	0	0	816	2
2	0	2	0	0	817	2
2	0	2	1	1	818	2
2	0	2	0	0	819	2
2	0	2	0	0	820	2
2	0	2	28	28	821	2
2	0	2	0	0	822	2
2	0	2	0	0	823	2
2	0	2	0	0	824	2
2	0	2	0	0	825	2
2	0	2	0	0	826	2
2	0	2	0	0	827	2
2	0	2	0	0	828	2
2	0	2	0	0	829	2
2	1	2	0	1	830	1
2	0	2	0	0	831	2
2	0	2	0	0	832	2
2	0	2	0	0	833	2
2	0	2	0	0	834	2
2	0	2	0	0	835	2
2	0	2	0	0	836	2
2	0	2	0	0	837	2
2	0	2	0	0	838	2
2	0	2	0	0	839	2
2	0	2	0	0	840	2
2	0	2	0	0	841	2
2	0	2	0	0	842	2
2	0	2	0	0	843	2
2	0	2	0	0	844	2
2	0	2	0	0	845	2
2	0	2	0	0	846	2
2	0	2	0	0	847	2
2	0	2	0	0	848	2
2	0	2	0	0	849	2
2	0	2	0	0	850	2
2	0	2	0	0	851	2
2	0	2	0	0	852	2
2	0	2	0	0	853	2
2	0	2	0	0	854	2
2	0	2	0	0	855	2
2	0	2	0	0	856	2
2	0	2	0	0	857	2
2	0	2	0	0	858	2
